date,home_team,away_team,home_score,away_score,goal_diff,tournament,country,neutral,home_is_host,elo_diff,home_higher_elo,home_recent_win_rate,away_recent_win_rate,recent_form_diff,home_avg_goals_last10,away_avg_goals_last10,diff_in_avg_goals,home_total_goals_last10,away_total_goals_last10,home_total_conceded_last10,away_total_conceded_last10,diff_in_total_conceded,tournament_weight,match_result
2000-02-07,Nigeria,Senegal,2,1,1,African Cup of Nations,Nigeria,False,1,5.0,1,0.5,0.6,-0.09999999999999998,1.2,2.0,-0.8,12.0,20.0,11.0,6.0,5.0,4,home_win
2000-02-07,Singapore,Malaysia,3,1,2,Friendly,Singapore,False,1,65.0,1,0.3,0.4,-0.10000000000000003,0.8,1.4,-0.5999999999999999,8.0,14.0,12.0,20.0,-8.0,1,home_win
2000-02-08,Albania,Azerbaijan,1,0,1,Malta International Tournament,Malta,True,0,37.0,1,0.3,0.1,0.19999999999999998,1.1,0.8,0.30000000000000004,11.0,8.0,11.0,27.0,-16.0,2,home_win
2000-02-08,Malta,Andorra,1,1,0,Malta International Tournament,Malta,False,1,128.0,1,0.2,0.0,0.2,1.0,0.2,0.8,10.0,2.0,17.0,30.0,-13.0,2,draw
2000-02-08,Mexico,Czech Republic,1,2,-1,Lunar New Year Cup,Hong Kong,True,0,-68.0,0,0.6,0.8,-0.20000000000000007,1.6,2.3,-0.6999999999999997,16.0,23.0,8.0,6.0,2.0,2,away_win
2000-02-08,Syria,North Korea,5,1,4,Friendly,Syria,False,1,233.0,1,0.2,0.1,0.1,0.9,1.0,-0.09999999999999998,9.0,10.0,21.0,24.0,-3.0,1,home_win
2000-02-09,Bulgaria,Slovakia,1,0,1,Friendly,Chile,True,0,-63.0,0,0.4,0.6,-0.19999999999999996,1.0,1.0,0.0,10.0,10.0,8.0,12.0,-4.0,1,home_win
2000-02-09,Cayman Islands,Jamaica,0,1,-1,Friendly,Cayman Islands,False,1,-363.0,0,0.3,0.4,-0.10000000000000003,1.4,1.3,0.09999999999999987,14.0,13.0,18.0,15.0,3.0,1,away_win
2000-02-09,Chile,Australia,2,1,1,Friendly,Chile,False,1,208.0,1,0.3,0.4,-0.10000000000000003,1.1,2.4,-1.2999999999999998,11.0,24.0,12.0,20.0,-8.0,1,home_win
2000-02-09,Honduras,El Salvador,5,1,4,Friendly,Honduras,False,1,62.0,1,0.7,0.1,0.6,2.4,0.7,1.7,24.0,7.0,9.0,23.0,-14.0,1,home_win
